review_id,platform,review_date,star_rating,review_text,occasion_mentioned
REV-001,Google,2023-01-01,5,Love this little shop on Mass Ave. Always stop in when I'm in the area. Great prices and the flowers are always super fresh.,walk-in
REV-002,Yelp,2023-01-01,5,Just moved to the area and this place is a hidden treasure. Beautiful selection and the most helpful staff. My new go-to florist.,walk-in
REV-003,Google,2023-01-03,4,Quick birthday bouquet pickup. In and out in 10 minutes and it was beautiful. Sometimes simple and fast is all you need.,
REV-004,Yelp,2023-01-05,1,Ordered a specific color scheme for a birthday and they substituted without asking. The flowers were fine but not what I ordered.,
REV-005,Yelp,2023-01-08,2,Was browsing and the staff member hovering over me made me uncomfortable. Felt like I was being rushed to buy something.,walk-in
REV-006,Google,2023-01-24,1,Graduation bouquet was already wilting when I picked it up. Had to ask them to redo it which made me late to the ceremony. Stressful.,graduation
REV-007,Google,2023-01-24,2,"Hospital delivery took two days instead of same-day as promised. When they finally arrived, the arrangement was smaller than what I ordered. Not cool.",hospital
REV-008,Google,2023-01-24,1,Online order looked nothing like the picture. Arrangement was much smaller than expected. Disappointing.,anniversary
REV-009,Google,2023-01-27,4,Quick birthday bouquet pickup. In and out in 10 minutes and it was beautiful. Sometimes simple and fast is all you need.,birthday
REV-010,Google,2023-01-28,4,Ordered a special anniversary bouquet. Roses and orchids together were elegant. The presentation with the ribbon and wrapping was really classy.,anniversary
REV-011,Google,2023-02-04,1,"Tried to order online for Valentine's and the website kept crashing. By the time I got through, they were out of most things. Frustrating experience.",Valentine's Day
REV-012,Yelp,2023-02-05,5,Just moved to the area and this place is a hidden treasure. Beautiful selection and the most helpful staff. My new go-to florist.,walk-in
REV-013,Google,2023-02-06,4,"Needed sympathy flowers on short notice and they put together a beautiful, dignified arrangement in under an hour. Very compassionate staff.",
REV-014,Google,2023-02-06,2,Mother's Day arrangement was much smaller than what was shown online. My mom was polite about it but I could tell she was underwhelmed. Not ordering again.,Mother's Day
REV-015,Google,2023-02-11,2,Paid premium prices for Valentine's roses and half of them were already opening. They didn't even last three days. Total waste of money.,Valentine's Day
REV-016,Google,2023-02-11,4,"The Valentine's premium rose bouquet was worth every penny. Huge blooms, rich color, and they threw in a small box of chocolates. Such a nice personal touch.",Valentine's Day
REV-017,Google,2023-02-12,5,Quick delivery to Beth Israel. The arrangement was fresh and cheerful. Exactly what my mom needed to feel better.,
REV-018,Google,2023-02-12,3,Prices have gone up quite a bit since last year. The flowers are still nice but I'm not sure the value is there anymore for casual purchases.,walk-in
REV-019,Google,2023-02-12,5,Stopped by for Valentine's and the staff recommended adding some greenery to the roses. It made such a difference. Looked way more expensive than it was.,Valentine's Day
REV-020,Google,2023-02-14,3,The birthday flowers were pretty but smaller than I expected for the price. My friend liked them though so it worked out.,birthday
REV-021,Google,2023-02-14,3,The birthday flowers were pretty but smaller than I expected for the price. My friend liked them though so it worked out.,birthday
REV-022,Google,2023-02-14,2,Paid premium prices for Valentine's roses and half of them were already opening. They didn't even last three days. Total waste of money.,
REV-023,Yelp,2023-02-15,3,The birthday flowers were pretty but smaller than I expected for the price. My friend liked them though so it worked out.,birthday
REV-024,Google,2023-02-16,5,Valentine's Day and the shop was packed but the staff stayed calm and helpful. Got a beautiful tulip arrangement since roses were selling fast. Really happy with it.,
REV-025,Yelp,2023-02-20,2,The shop was closed during posted hours which was frustrating. When I came back the next day the selection was good but that was annoying.,walk-in
REV-026,Google,2023-02-20,3,Got my mom a bouquet for Mother's Day. It was nice enough but she said the one I got her last year from another place was better. Middle of the road.,
REV-027,Yelp,2023-02-22,5,Birthday flowers for my sister. Asked for something bright and cheerful and they nailed it. She said it was the highlight of her day.,birthday
REV-028,Yelp,2023-02-23,5,Love that they carry succulents and air plants in addition to fresh flowers. Got a cute little arrangement for my bathroom shelf.,walk-in
REV-029,Yelp,2023-02-24,4,"Small courthouse wedding and they made the sweetest little bridal bouquet and boutonniere. Didn't need a big florist for our intimate ceremony, they were perfect.",
REV-030,Yelp,2023-02-26,2,Valentine's Day order was a disaster. Ordered roses online and they arrived wilted and brown around the edges. Very disappointing for such an important day.,Valentine's Day
REV-031,Yelp,2023-02-27,5,"Small courthouse wedding and they made the sweetest little bridal bouquet and boutonniere. Didn't need a big florist for our intimate ceremony, they were perfect.",wedding
